source,target
may i be bold to think these spirits?,can i be bold enough to say i feel these spirits?
"and,as i am an honest puck,if we have unearnd luck now to scape the serpents tongue,we will make amends ere long;else the puck a liar call.","and since i’m a straight-up puck, if we get lucky dodging the serpent’s spit, we’ll make things right soon; otherwise, call me a liar."
"cousin,throw up your gage;do you begin.","cousin, throw up your wager; you ready to kick it off?"
"come,brother john,full bravely hast thou fleshd thy maiden sword.","come, brother john, you bravely pulled out your first sword."
i am.,i am.
"go up,ill bring linen for him straight.","get up, i’m gonna grab him some linen right away."
let me see what news.,let me peep the latest news.
would i might end first!,i wish i could end it first!
"ils sont les mots de son mauvais,corruptible,gros,et impudique,et non pour les dames dhonneur duser.","those are the words of his bad, corrupt, chunky, and rude self—not for the dames’ honor, man."
"for,gentle hearers,know to rank our chosen truth with such a show as fool and fight is,beside forfeiting our own brains and the opinion that we bring to make that only true we now intend,will leave us never an understanding friend.","yo, gentle peeps, stacking our truth with all this clownin’ and brawls, while losing our own cred, will never score us a real friend."
"villains,set down the corse or,by saint paul,ill make a corse of him that disobeys!","villains, drop the body or, by saint paul, i’ll turn that disobedient punk into a corpse!"
and discourse fustian with ones own shadow?,and spout bogus talk with your own shadow?
lead me to my chamber.,take me to my room.
"if you went in pain,master,this knave would go sore.","if you’re hurting, boss, this knave would be super pissed."
"i did endure not seldom nor no slight checks,when i have prompted you in the ebb of your estate and your great flow of debts.",i’ve caught plenty of flak—not just a few—when i pushed you during your low phase and epic debt spill.
"tell him he must awake,and that quickly too.","tell him he gotta wake up, and fast."
her pity-pleading eyes are sadly fixed in the remorseless wrinkles of his face.,"her eyes, all pleading for pity, are stuck on the ruthless lines on his face."
"you a brother of us,it fits we thus proceed,or else no witness would come against you.","yo, you're one of us so we gotta roll like this or else no one’s gonna have your back."
"o silius,silius,i have done enough.","yo silius, silius, i done my part."
belike this show imports the argument of the play.,this vibe kinda sets up the whole play’s story.
say warwick was our anchor;what of that?,"if warwick was our rock, then what?"
"so lucrece set a-work,sad tales doth tell to pencilled pensiveness and coloured sorrow;she lends them words,and she their looks doth borrow.","so lucrece got busy—her sad stories spill deep feels, borrowing her vibe for that extra punch."
"soldiers,adieu!","soldiers, peace out!"
"is she to be buried in christian burial,when she wilfully seeks her own salvation?",is she really gonna get a christian send-off when she’s out here chasing her own salvation?
"then forth,dear countrymen!","then let’s roll, fam!"
thou art easier swallowed than a flap-dragon.,you're easier to swallow than a flap-dragon.
"if you have any music that may not be heard,tot again.","if you got any tunes that haven’t been heard, toot 'em out again."
his cares are now all ended.,his worries are done.
that he hath not.,he ain't got that.
"pray you,turn your eyes upon me.","please, look at me."
"and i hear,moreover,his highness is fallen into this same whoreson apoplexy.",and i heard his highness caught that crude stroke.
"boot,boot,master shallow.","boot, boot, master shallow."
"he promised to meet me two hours since,and he was ever precise in promise-keeping.","he said he'd link up two hours ago, and he never misses his word."
will caesar speak?,"so, caesar gonna talk?"
then patiently hear my impatience.,then chill and listen to my impatient vibes.
"you heard her say herself,it was not i.",you heard her say it herself—it wasn’t me.
"how now,captain macmorris!","what’s up, captain macmorris!"
"the gods protect you,and bless the good remainders of the court!",god bless you and all the good peeps in court!
away with her to prison.,send her straight to the clink.
how often said my dignity would last but till twere known!,my dignity was supposed to last until it got exposed!
"o spirit of love,how quick and fresh art thou,that notwithstanding thy capacity receiveth as the sea,nought enters there,of what validity and pitch soever,but falls into abatement and low price even in a minute!","oh love spirit, you’re so quick and fresh that even when you hold a sea’s worth, nothing really sticks—it drops in value in a minute."
i see thy age and dangers make thee dote.,i see your age and drama got you all in love.
"what,wilt thou flout me thus unto my face,being forbid?","what, you gonna disrespect me right to my face even though you're not supposed to?"
"hail,rome,victorious in thy mourning weeds!","hail rome, killing it even in your mourning fits!"
thinkst thou i am an executioner?,you think i'm some executioner?
wheres that?,where’s that at?
"sirrah,whats thy name?","hey, what's your name, dude?"
thy mothers of my generation.,your moms from my time.
"i will,my lord.","i got you, my lord."
"well,well,thou hast a careful father,child;one who to put thee from thy heaviness,hath sorted out a sudden day of joy,that thou expects not,nor i lookd not for.","okay, so you got a chill dad, kid; he pulled a surprise day of joy to lift your mood, one you totally didn’t see coming."
"my lord protector,so it please your grace,here are the articles of contracted peace between our sovereign and the french king charles,for eighteen months concluded by consent.","my lord protector, if you're down, here are the peace terms between our top dog and french king charles, set for eighteen months by mutual vibes."
"that were hard to compass,because she will admit no kind of suit,no,not the dukes.",those terms were mad hard to figure out ‘cause she ain’t down for any offers—not even from the dukes.
"the body of our sport,of no small study.",the whole shebang of our game is a seriously deep flex.
twas well writ.,that was sickly written.
i the mire.,i was stuck in the mess.
"therefore prepare you,i your commission will forthwith dispatch,and he to england shall along with you.","so get ready, i’m sending out your commission right now, and he’s heading to england with you."
"o dear phoebe,if everas that ever may be near you meet in some fresh cheek the power of fancy,then shall you know the wounds invisible that loves keen arrows make.","oh dear phoebe, if you ever catch a fresh vibe on your face, you’ll feel the invisible scars that love’s arrows leave."
"o,i have taen too little care of this!","oh, i’ve been way too slack on this!"
what have we here?,what we got here?
"speak,speak,speak.","spit it out, spit it out, spit it out."
is it good-den?,"is it any good, den?"
then have at you with my wit.,then get ready for my savage wit.
"then,since the case so stands as now it doth,i think it best you married with the county.","so, since things are like this right now, i think you should link up with the county."
it is my lords.,it’s all my lords.
"anon,good nurse!","hurry up, good nurse!"
"sir,we have known together in orleans.","sir, we’ve rolled together in orleans."
"well,go,prepare yourself.","alright, go get ready."
i will add thelenvoi.,i’ll add thelenvoi.
greater than great!,bigger than big!
i swoon to see thee.,i’m shook to see you.
"farewell,good launcelet.","later, good launcelet."
the custom of request you have discharged.,you handled that request custom-style.
"all scholars,lawyers,courtiers,gentlemen,they call false caterpillars,and intend their death.","all these scholars, lawyers, courtiers, and gentlemen—they’re dubbed fake caterpillars and are basically done for."
"there needs no ghost,my lord,come from the grave to tell us this.","no need for a ghost, my lord, to pop outta the grave to drop that news."
"he is afraid of me,and i of him.","he’s scared of me, and i’m lowkey scared of him too."
"nay,you must forget that rarest treasure of your cheek,exposing it(but,o,the harder heart!","nah, you gotta drop that prized cheek display—even though damn, that heart’s even harder."
"the man is,notwithstanding,sufficient.","the guy is, for real, enough."
what must we understand by this?,what are we supposed to make of this?
i have no mind to isbel since i was at court.,i ain't tryna get isbel ever since i was at court.
most dearst!,most beloved!
"look,he stirs:do you withdraw yourself a little while,he will recover straight.","look, he's moving—step back for a bit, he'll bounce back soon."
and what delight shall she have to look on the devil?,and what joy does she get from staring at the devil?
"he hath been searchd among the dead and living,but no trace of him.",they searched everywhere—among the dead and the living—and couldn’t find a trace of him.
bosko chimurcho.,bosko chimurcho.
did you not tell me this fat man was dead?,didn't you tell me that fat dude was dead?
"it ascends me into the brain,dries me there all the foolish and dull and crudy vapours which environ it,makes it apprehensive,quick,forgetive,full of nimble,fiery,and delectable shapes,which,delivered oer to the voice,the tongue,which is the birth,becomes excellent wit.","it goes straight to my brain, drying up all the dumb, gross vibes around it—it gets me alert, quick, forgetful, and fills me with snappy, fiery, dope imagery that turns into killer wit when i speak."
i may perceive these cardinals trifle with me.,i can see these cardinals messing with me.
"now,by this light,were i to get again,madam,i would not wish a better father.","now, with this glow, if i got another shot, madam, i wouldn’t want a better dad."
who calls?,who’s calling?
"he bounds from the earth,as if his entrails were hairs;le cheval volant,the pegasus,qui a les narines de feu!","he bounces off the ground like his insides are hairs; le cheval volant, the pegasus, with fiery nostrils!"
fear you not my part of the dialogue.,don’t worry about my part in the convo.
"name not religion,for thou lovst the flesh,and neer throughout the year to church thou gost,except it be to pray against thy foes.",don’t bring up religion ‘cause you love the flesh and barely hit church unless you're praying against your enemies.
"o,i am slain!","oh, i’m done for!"
"in their thick breaths,rank of gross diet,shall we be enclouded,and forced to drink their vapour.","with their heavy, gross breaths, we'll get all fogged up and forced to gulp their stale air."
whats that ducdame?,"what’s that, ducdame?"
i am sped.,i’m outta here.
daylight and champian discovers not more!,daylight and champagne don't reveal anything more!
would god would serve the world so all the year!,i wish god would serve the world all year round!
i know you by the waggling of your head.,i know you by how you wiggle your head.
"though i am mad,i will not bite him.","even though i'm crazy, i won't snap at him."
"for my part,noble lords,i care not which;or somerset or york,alls one to me.","for me, noble lords, i don't care which—somerset or york, they're all the same."
"o,what a scandal is it to our crown that two such noble peers as ye should jar!","oh, what a scandal it is for our crown that two noble peers like you would clash!"
"rebellious hinds,the filth and scum of kent,marked for the gallows,lay your weapons down;home to your cottages,forsake this groom.","rebellious hinds, the filth and scum of kent destined for the gallows, drop your weapons; head back to your cribs and ditch this groom."
"ay,my good lord,a son that well deserves the honour and regard of such a father.","yeah, my lord, a son who totally earns the respect from a dad like that."
"i have advertised him by secret means that if about this hour he make this way,under the colour of his usual game,he shall here find his friends with horse and men to set him free from his captivity.","i put it out on the down low that if he shows up around now, acting all usual, he'll find his crew with rides and homies ready to break him out."
i do not well understand that.,i don't really get that.
"come,shall we in and taste lord timons bounty?","come on, let's roll in and vibe with lord timon’s bounty."
the gods are mighty.,the gods are straight-up powerful.
"yet was samson so tempted,and he had an excellent strength;yet was solomon so seduced,and he had a very good wit.","samson got all tempted, even though he was super strong; solomon got seduced, even though he was mad smart."
this is the period of my ambition.,this is my hustle era.
"but tis a common proof,that lowliness is young ambitions ladder,whereto the climber-upward turns his face;but when he once attains the upmost round,he then unto the ladder turns his back,looks in the clouds,scorning the base degrees by which he did ascend.","but it’s clear that being humble is like the ladder of young ambition—where you look up while climbing; but once you hit the top, you turn your back on that ladder and look down, scorning the steps you climbed."
"how now,my son?","what's up, my son?"
a light condition in a beauty dark.,a chill vibe in a dark beauty.
"thou art as opposite to every good as the antipodes are unto us,or as the south to the septentrion.","you're as far from good as the other side is from us, like south is to north."
go not about;my love hath int a bond whereof the world takes note.,don’t wander off; my love’s locked down in a bond that everyone knows about.
"yet herein will i imitate the sun,who doth permit the base contagious clouds to smother up his beauty from the world,that,when he please again to be himself,being wanted,he may be more wonderd at,by breaking through the foul and ugly mists of vapours that did seem to strangle him.","imma vibe like the sun, letting nasty clouds hide my glow so when i pop back, everyone’s shook by my comeback."
a green-a box.,a green box moment.
"i had rather you did lack than i,my lord,upon this ground:and more it would content me to have her honour true than your suspicion,be blamd fort how you might.","lowkey i'd rather you miss out than me, my lord; i'd rather her rep stay 100 than you be suspicious, no cap."
"my lord and brother,god save you!","yo my lord and bro, god bless ya!"
he is.,"yep, that’s him."
"no,neither.","nah, neither."
use me well;you shall have ransom.,treat me right and i'll pay up.
sweet health and fair desires consort your grace.,"wishing you good vibes and your heart’s desires, your grace."
ill meet you in the valleys.,catch you in the valleys.
was ever woman in this humour won?,has any girl ever been won over like this?
you must go.,you gotta bounce.
"so am i as the rich whose blessed key,can bring him to his sweet up-locked treasure,the which he will not every hour survey,for blunting the fine point of seldom pleasure.","same here, like a rich guy who only checks his treasure once in a while so it stays special."
"why,thou knowest i am as valiant as hercules:but beware instinct.","bro, you know i'm hella brave like hercules, but trust your gut."
"cousin,look not sad.","cousin, don't be bummed."
"no,faith,ill not stay a jot longer.","no cap, i'm not sticking around one more sec."
"i said,my lord,if you did know my parentage,you would not do me violence.","i told you, my lord, if you knew where i came from, you wouldn’t mess with me."
i accuse them not.,i ain’t throwing shade at them.
"come,let us go;our corns to reap,for yet our tithes to sow.",let’s roll and harvest our fields before we gotta sow again.
this doll tearsheet should be some road.,this ragged sheet looks like a busted map.
mark his behaviour.,watch how he’s acting.
my master will be here ere morning.,my boss will slide through before morning.
"i did inquire it,and have my learning from some true reports that drew their swords with you.",i checked around and got the scoop from folks who swung swords with you.
"why,so;being gone,i am a man again.","alright, cool; once he’s gone, i’m free again."
"i trouble thee too much,but thou art willing.","i’m bugging you hard, but you’re down to help."
"if it prove shes otherwise,ill keep my stables where i lodge my wife;ill go in couples with her;than when i feel and see her no further trust her.","if she turns out shady, i’ll keep my stables at home and roll with her in pairs; then when i see the real her, i won’t trust her anymore."
"in me thou seest the glowing of such fire,that on the ashes of his youth doth lie,as the death-bed,whereon it must expire,consumed with that which it was nourished by.","you see in me a fire so bright that it burns out on the ashes of youth, like a dying ember."
"faith,my lord,i spoke it but according to the trick.","honestly, my lord, i was just playing by the rules."
well beat em into bench-holes.,we’ll smack ’em down so hard they’ll be stuck in their seats.
"there was a man,nay,come,sit down,then on.","there was this dude—nah, come sit and let me spill."
canst work i thearth so fast?,how you tilling soil at warp speed like that?
"so please you,madam,to put apart these your attendants,i shall bring emilia forth.","if it’s cool, ma’am, send your crew away and i’ll bring out emilia."
"our navy is addressd,our power collected,our substitutes in absence well invested,and everything lies level to our wish.","our fleet’s ready, our power assembled, our backups set, everything’s locked in to our plan."
i cannot tell.,no clue.
you can fool no more money out of me at this throw.,you ain’t scamming more cash from me this time.
"thanks,sir:the like to you.","thanks, sir; right back atcha."
"come,come,elder brother,you are too young in this.","c’mon, bro, you’re too fresh for this game."
"faith,theres no way to be rid ont but by the way to the pox.","seriously, the only cure is to get the pox."
get you gone.,bounce.
"why me,timon?","why me, timon?"
even now about it!,"right now, let’s go!"
"i thank my stars,i am happy.","big ups to the stars, i’m stoked."
"please it our general pass strangely by him,as if he were forgot;and,princes all,lay negligent and loose regard upon him.","let our leader act like he forgot him, and all the princes ignore him."
hes in yellow stockings.,he’s rocking yellow socks.
"i grant your worship that he is a knave,sir,but yet,god forbid,sir,but a knave should have some countenance at his friends request.","i admit he’s a jerk, but dude deserves some respect when his homies vouch for him."
"for often have you writ to her,and she,in modesty or else for want of idle time,could not again reply,or fearing else some messenger that might her mind discover,herself hath taught her love himself to write unto her lover.","you’ve hit her up a ton, and she, busy or lowkey avoiding it, hasn’t replied—maybe she’s hiding her feelings."
"now,as thou art a gentleman of blood,advise me where i may have such a ladder.","so since you’re highborn, tell me where to get a ladder like that."
"marry,sir,so painted to make her fair,that no man counts of her beauty.","honestly, sir, she’s so made up you’d never rate her looks."
he scrape a trencher!,"he’s scraping the plate, bro!"
"they are at hand,and ready to effect it.",they’re here and ready to make it happen.
"the sum of this,brought hither to pentapolis y-ravished the regions round,and everyone with claps can sound,our heir apparent is a king!","long story short, bringing this to pentapolis blew minds all around, and everyone’s cheering our heir as king!"
conceit upon her father.,he’s all caught up thinking about her dad.
"struck dead at first,what needs a second striking?",knocked out at first blow—no need for a second.
"therefore,this blest morning shall be the last;and that sword he refuses,if it but hold,i kill him with.","so today’s the final showdown; if his sword holds, i’m ending him."
"mine host pistol,you must come to my master,and you,hostess.","host pistol, you gotta roll to my boss, and you, hostess too."
"i have served him from the hour of my nativity to this instant,and have nothing at his hands for my service but blows.","i’ve worked for him since birth, and all i got were beatings."
come you from the bridge?,you just came off the bridge?
"he is my son,ay,and therein my shame;yet from my dugs he drew not this deceit.","he’s my kid, yeah, and that’s my shame; but he didn’t get that deceit from me."
"my sword is in my hand,and if thou killest me,the gods and i forgive thee.","sword’s out, and if you kill me, the gods and i forgive you."
hell spare none.,hell’s not cutting anyone slack.
there is scarce truth enough alive to make societies secure;but security enough to make fellowships accursed.,"there’s barely enough truth left to trust, but enough lies to wreck friendships."
"coming in to borrow a mess of vinegar,telling us she had a good dish of prawns,whereby thou didst desire to eat some,whereby i told thee they were ill for green wound?","showing up for some vinegar, telling us about prawns, then you wanted to snack even though they’re bad for fresh wounds?"
i was directed hither.,i was pointed this way.
nothing but this?,that’s it?
"ay,and the best she shall have,and my favour to him that does best.","yeah, and she’ll get the best of it—and props to whoever nails it."
how come you thus estranged?,why you acting so distant?
"i think your lordship is not ignorant how his companion,youthful valentine,attends the emperor in his royal court.","you know how valentine’s been riding with the emperor, right?"
sweet lovers love the spring.,lovebirds vibe hard in spring.
wheres the roll?,where’s the list?
"madam,good hope;his grace speaks cheerfully.","ma’am, stay optimistic; he’s talking happy vibes."
hectors trumpet.,hector’s blowing his horn.
"why faint you,lords?","why you collapsing, lords?"
"yes,to pay a fine for a periwig,and recover the lost hair of another man.","yeah, gotta cough up cash for a wig and fix someone else’s hair loss."
groping for trouts in a peculiar river.,fishing for trout in some weird stream.
"but if you fail,without more speech,my lord,you must be gone from hence immediately.","but if you bail, no more chit-chat, you gotta dip immediately."
"never did faithful subject more rejoice at the discovery of most dangerous treason than i do at this hour joy oer myself,prevented from a damned enterprise.",no loyal subject’s ever been more hyped to dodge a doomed mission than i am right now.
"ay,are you thereabouts?",you close by?
what is love?,what even is love?
"villain,thy father was a plasterer,and thou thyself a shearman,art thou not?","jerk, your dad was a plasterer and you were a cloth-cutter, right?"
a question to be asked.,that’s a question to drop.
whats the matter here?,what’s going on here?
"well,get you gone.","alright, scram."
stand close.,stay tight.
your days service at shrewsbury hath a little gilded over your nights exploit on gads hill.,your daytime win at shrewsbury kinda overshadows your night stunt on gads hill.
"articles are borrowed of the pronoun,and be thus declined:singulariter,nominativo,hic,haec,hoc.","grammar lesson: articles come from pronouns and decline like this: singular, nominative, hic, haec, hoc."
"adieu,sir.","peace out, sir."
"steal by line and level,is an excellent pass of pate.",sneaking in straight is a killer move.
you have shot over.,you overshot.
"once did i get him bound and sent him home,whilst to take order for the wrongs i went,that here and there his fury had committed.","once i had him tied up and sent home, then i went to fix the mess he made."
"i shall forget,to have thee still stand there,remembering how i love thy company.",i’ll forget standing there and remember how much i love your company.
"my lord,he is but even now gone hence;here was he merry,hearing of a song.","my lord, he just dipped—he was vibing here, jamming to a song."
are my discourses dull?,am i boring y’all?
ill ask them.,i’ll hit them up.
"my lord,the mayor of london comes to greet you.","my lord, the london mayor’s here to say hey."
it will be rain tonight.,"heads up, it’s gonna pour tonight."
"and as she runs,the bushes in the way some catch her by the neck,some kiss her face,some twine about her thigh to make her stay:she wildly breaketh from their strict embrace,like a milch doe,whose swelling dugs do ache,hasting to feed her fawn hid in some brake.","as she bolts, the bushes grab her neck, some kiss her face, some wrap around her thigh trying to hold her, but she breaks free like a doe racing to feed her fawn."
well take your offer kindly.,we appreciate the offer.
"sir,i pray you,a word.","sir, can i get a sec?"
make your proof.,show your receipts.
what wrong is this unto the prince your son!,"what disrespect is this to the prince, your kid?"
cant be?,"no way, right?"
i do not like her.,"nah, she ain’t my vibe."
"she speaks,and tis such sense that my sense breeds with it.","she talks, and it’s so real that it hits different in my brain."
"on,bacons,on!","go off, bacons, go off!"
"go thou,and like an executioner cut off the heads of too fast-growing sprays that look too lofty in our commonwealth.",roll out and chop down those overgrown branches that are flexing too hard in our hood.
i doubt not but this populous city will yield many scholars.,"no cap, this crowded city’s gonna spawn a ton of brainiacs."
"be merry,be merry.","stay hype, stay hype."
"help me,dear sister;in a deed so virtuous the powers of all women will be with us.","help me out, sis; this move’s so righteous even all the queens will back us."
"and i wish,my liege,you had only in your silent judgement tried it,without more overture.","wish, my liege, you’d just judged it quietly instead of making a big deal."
let him come near.,let him roll up.
"if the english had any apprehension,they would run away.","if the english had any clue what’s up, they’d dip."
"nay,then,the wanton lies;my face is black.","nah, the bold lies; my rep’s getting dragged."
"for what i have conquered i grant him part;but then in his armenia and other of his conquered kingdoms,i demand the like.","i’ll give him props for what he’s won, but in armenia and his other wins, i want the same flex."
wheres your master?,where your boss at?
"no valentine,if silvia have forsworn me.","no chance, valentine, if silvia ghosted me."
"hang him,rogue,he lives upon mouldy stewed prunes and dried cakes.","hang that clown, he’s surviving on stale prunes and old pastries."
"spare not the babe,whose dimpled smiles from fools exhaust their mercy;think it a bastard whom the oracle hath doubtfully pronounced thy throat shall cut,and mince it sans remorse.","don’t spare that kid, whose cute grin has everyone’s pity; treat him like the jerk the oracle said you gotta off, and chop him up with zero remorse."
first demand of him how many horse the duke is strong.,first ask him how many horses the duke’s squad has.
they grow still too.,they keep growing too.
can a weak empty vessel bear such a huge full hogshead?,"can a weak, empty jar hold that massive barrel?"
"if we live thus tamely,to be thus jaded by a piece of scarlet,farewell,nobility.","if we live so quietly, getting bored by just a bit of red, bye bye nobility."
"therefore to horse;and let us not be dainty of leave-taking,but shift away.","so saddle up; don’t drag goodbyes, just bounce."
"o,cursed be the hand that made these holes;cursed the heart that had the heart to do it;cursed the blood that let this blood from hence.","ugh, damn the hand that poked these holes, damn the heart that let it happen, damn the blood that spilled."
"soft,son!","chill, bro!"
"but,sirrah,what say you to this?","hey dude, what’s your take on this?"
fairies sing.,fairies be vibin’.
"welcome,fall to.","welcome, dig in."
and yet i care not.,"and tbh, i don’t even care."
tell me in sadness who is that you love?,"tell me, sadly, who you’re crushing on?"
he;i know him.,him; i got him.
"wast ever in court,shepherd?","you ever been to court, shepherd?"
"ay,when?","yeah, when?"
"richard of york,how fares our loving brother?","richard of york, how’s our bro doing?"
"he presents hector of troy;the swain,pompey the great;the parish curate,alexander;armados page,hercules;the pedant,judas maccabaeus.",he’s flexing hector of troy; the farmhand’s pompey the great; the priest’s alexander; armado’s page’s hercules; the teacher’s judas maccabaeus.
they want their porridge and their fat bull beeves.,they’re craving their porridge and fat beef.
"how now,fair lords!","yo, what’s poppin’, my lords!"
"or what is he of basest function that says his bravery is not on my cost,thinking that i mean him,but therein suits his folly to the mettle of my speech?","or who’s that broke dude claiming his courage didn’t come from me, thinking i’m talking about him? his dumb flex matches my savage words."
"cousin,away for england!","cuz, bounce to england!"
dare any be so bold to sound retreat or parley when i command them kill?,who’s brave enough to call retreat or talk when i ordered ‘em to kill?
why appear you with this ridiculous boldness before my lady?,why you showing up with this wild confidence in front of my lady?
"thus defied,i thank thee for myself.","getting defied like this, i gotta thank you on my own behalf."
"and yet he had a cousin,fair as he too,but in my heart was palamon,and there,lord,what a coil he keeps!","and he had a cousin just as fine, but in my heart was palamon, and man, what drama he’s stirring!"
"then sigh not so,but let them go,and be you blithe and bonny,converting all your sounds of woe into hey nonny,nonny.","so stop the sad vibes, let ‘em be, and be happy and cute, turning all your moans into hey nonny nonny."
"bring it,i pray you,to the porpentine,for theres the house.","bring it to the porpentine, that’s where the crib is."
"thus hulling in the wild sea of my conscience,i did steer toward this remedy whereupon we are now present here together.","drifting in my crazy conscience, i steered toward this fix, and now here we are."
my heart is ready to crack with impatience.,my heart’s about to burst from impatience.
"verily,i swear,tis better to be lowly born and range with humble livers in content than to be perked up in a glistring grief,and wear a golden sorrow.","for real, i swear, it’s better to be born humble and chill with simple peeps than flex in shiny pain with golden grief."
"how,sir?","what’s up, sir?"
"sweet bassanio,my ships have all miscarried,my creditors grow cruel,my estate is very low,my bond to the jew is forfeit,and since in paying it,it is impossible i should live,all debts are cleard between you and i,if i might but see you at my death.","sweet bassanio, my ships sank, creditors are savage, my estate’s tanking, my loan to the jew’s defaulted, and paying it means i’d die, so we’re even if i could just see you when i die."
i have been worth the whistle.,i’ve been worth the hype.
"work thou the way,and that shall execute.","handle the path, and it’ll do the job."
"by gar,he is de coward jack-priest of de vorld.","for real, he’s the world’s biggest coward jack-priest."
"so i leave you to the protection of the prosperous gods,as thieves to keepers.","so i’m leaving you in the rich gods’ care, like thieves to guards."
how fares my kate?,how’s my kate doing?
"take thy lute,wench.","grab your lute, girl."
most fruitfully.,super productive.
he knows the game;how true he keeps the wind!,he knows the game; he really rides the breeze!
"yes indeed do i,fellow.","yeah for sure, bro."
"no,that were pity.","nah, that’d be a shame."
"if thou retire,the dauphin,well appointed,stands with the snares of war to tangle thee.","if you bounce, the dauphin’s squad’s all set to trap you."
"well,we shall see your bearing.",we’ll see how you handle it.
"o,alas!","ugh, damn!"
"aufidius,and you volsces,mark,for well hear naught from rome in private.","aufidius and volscians, listen up, we won’t get any news from rome in secret."
"his purpose meets you:twas to bring this greek to calchas house,and there to render him,for the enfreed antenor,the fair cressid.","his plan’s to bring this greek to calchas’s crib and hand him over for freed antenor, the fair cressid."
"good cromwell,neglect him not;make use now,and provide for thine own future safety.","good cromwell, don’t sleep on him; use this chance and secure your future."
"his woeful queen we leave at ephesus,unto diana there a votaress.",we’re leaving his sad queen in ephesus as a servant to diana.
"why to give over,i pray you?","why bail, i ask you?"
"good my lord,the reasons of our state i cannot yield,but like a common and an outward man that the great figure of a council frames by self-unable motion;therefore dare not say what i think of it,since i have found myself in my incertain grounds to fail as often as i guessd.","my lord, i can’t spill state secrets, i’m just an outsider that council motions can’t move; so i can’t share my thoughts since i keep getting it wrong."
there will we make our peds of roses and a thousand fragrant posies.,we’ll make our rose carpets and a thousand sweet posies there.
"i would be sorry,sir,but the fool should be as oft with your master as with my mistress.","i’d be down, sir, but that fool should hang with your boss as much as my lady."
"and that blood we desire to shed is mutual,in me thine,and in thee mine.","and the blood we wanna spill is mutual, yours in me and mine in you."
"i would i had;so i had broke thy pate,and askd thee mercy fort.",i wish i did; then i’d have smashed your head and begged you for mercy.
this sleep is sound indeed;this is a sleep that from this golden rigol hath divorced so many english kings.,this sleep’s legit; it’s the kind that’s knocked out so many english kings from their golden thrones.
"and if you crown him,let me prophesy the blood of english shall manure the ground and future ages groan for this foul act.","and if you crown him, i’ll call it: english blood will fertilize the soil and future generations will curse this dirty move."
"i am no strumpet,but of life as honest as you that thus abuse me.","i’m no slut, i’m as honest as you but you’re trashing me."
"hang him,baboon!",hang that baboon!
"then,englands messenger,return in post and tell false edward,thy supposed king,that lewis of france is sending over maskers to revel it with him and his new bride.","then, england’s courier, hurry back and tell fake edward, your so-called king, that lewis of france is sending partygoers to rage with him and his new bride."
"i see you what you are,you are too proud;but,if you were the devil,you are fair.","i see you for real, you’re too cocky; but even if you were the devil, you’d still look good."
"no,not a creature enters in my house.","nope, no one’s stepping foot in my crib."
my general cares not for you.,my general doesn’t give a damn about you.
they shall have wars and pay for their presumption.,they’ll get wars and foot the bill for their arrogance.
"hoo,hoo!","woo, woo!"
what mean you?,what’s that supposed to mean?
porters man.,porter’s dude.
plantagenet doth quit plantagenet;edward for edward pays a dying debt.,plantagenet is ditching plantagenet; edward pays edward’s dying debt.
yet caesar shall go forth;for these predictions are to the world in general as to caesar.,"but caesar’s still marching on; these prophecies apply to everyone, including caesar."
to marry him is hopeless;to be his whore is witless.,marrying him’s a dead end; being his slut’s straight-up dumb.
"take you the lute,and you the set of books;you shall go see your pupils presently.","you take the lute, and you grab the books; you’re heading to see your students now."
"o peter,thou hast prevailed in right!","yo peter, you totally nailed it!"
"good even,varro.","evening, varro."
this babble shall not henceforth trouble me.,this chatter won’t bug me anymore.
"a while,but ha!","for a sec, but hey!"
"not black in my mind,though yellow in my legs.","not dark in my head, though my legs are shook."
"and so suppose am i,for in his grave,assure thyself,my love is buried.","and same here, because in his grave, trust me, my love’s laid to rest."
"edward,what satisfaction canst thou make for bearing arms,for stirring up my subjects,and all the trouble thou hast turned me to?","edward, how you gonna make it up for raising an army, hyping up my people, and all the chaos you caused me?"
"if then true lovers have ever crossd,it stands as an edict in destiny.","if real lovers ever clash, it’s written in destiny."
"or here,or at the capitol.",either here or at the capitol.
"come,let us go.","come on, let’s bounce."
"no more,cousin.","no more, cuz."
"thou tremblest,and the whiteness in thy cheek is apter than thy tongue to tell thy errand.","you’re shaking, and your pale cheek spills the tea more than your words."
"and now this pale swan in her watry nest begins the sad dirge of her certain ending:few words,quoth she,shall fit the trespass best,where no excuse can give the fault amending.","and now this pale swan in her watery nest starts the sad song of her inevitable end: she said a few words are all that fit the crime, since no excuse can fix it."
the breaking of so great a thing should make a greater crack.,"when something that massive snaps, it makes an even louder bang."
it pleased them to think me worthy of pompey the great.,they were hyped to think i was on pompey’s level.
which the base vulgar do call three.,the basic crowd just calls it three.
a brittle glory shineth in this face.,a fragile flex is shining on that face.
and is but is?,and it’s just… is?
i know where it is situate.,i know exactly where that spot is.
"for wisdom sees,those men blush not in actions blacker than the night,will schew no course to keep them from the light.",wisdom sees that people who don’t even blush for their darkest deeds won’t learn to step into the light.
"truly then i fear you are damnd both by father and mother;thus when i shun scylla your father,i fall into charybdis your mother.","real talk, you’re cursed by both your dad and mom; dodging your father’s drama only throws you into your mother’s mess."
